INFO  - 2014-07-22 14:39:36.581; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/tika-parsers-1.4.jar' to classloader
INFO  - 2014-07-22 14:39:36.581; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2014-07-22 14:39:36.582; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2014-07-22 14:39:36.582; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2014-07-22 14:39:36.582; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-07-22 14:39:36.582; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-07-22 14:39:36.582; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/poi-ooxml-3.9.jar' to classloader
INFO  - 2014-07-22 14:39:36.583; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2014-07-22 14:39:36.583; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/poi-scratchpad-3.9.jar' to classloader
INFO  - 2014-07-22 14:39:36.583; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/eidel/Documents/School/Exjobb/Programming/solr/src/solr-4.7.0/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
